ROAD_CLASS,DISTRICT,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,IMPACTYPE,INVTYPE,VEHTYPE,HOUR,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,PEDESTRIAN,PASSENGER,POLICE_DIVISION,HOOD_ID,month
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,23,0,1,0,0,0,0,0,0,0,0,0,1,0,42,132,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Bus,14,0,1,0,0,1,0,0,0,0,0,0,0,1,52,78,2
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,23,0,1,0,0,0,0,1,1,0,0,0,1,0,43,137,4
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Rain,Dark,Wet,Approaching,Driver,Automobile,22,0,1,1,0,0,0,0,0,0,0,0,0,1,14,82,11
Major Arterial,Etobicoke York,Intersection,At Intersection,Other,Clear,Daylight,Dry,Angle,Driver,Automobile,5,0,1,0,0,0,0,0,1,0,0,0,0,0,23,2,5
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,33,52,12
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,1,0,0,0,1,0,14,83,6
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Motorcycle Passenger,2 Wheels,4,0,0,1,0,0,0,0,0,0,0,0,0,0,22,15,9
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,1,1,0,0,1,1,22,10,1
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,13,0,1,0,0,0,0,0,0,0,0,0,0,1,31,27,2
Minor Arterial,Toronto and East York,Mid-Block,Other,No Control,Rain,Dark,Wet,Sideswipe,Driver,Automobile,22,0,1,0,1,0,0,0,1,0,0,0,0,0,11,93,10
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Passenger,Other,15,0,1,0,0,0,0,0,0,0,0,0,0,1,41,127,12
Collector,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,SMV Other,Driver,Automobile,8,0,1,0,0,0,0,1,1,0,0,0,0,0,41,122,4
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Passenger,Other,13,0,1,1,0,0,0,0,0,0,0,0,0,1,53,98,10
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Cyclist Collisions,Vehicle Owner,Other,20,1,0,0,1,0,0,0,0,0,0,0,0,0,31,27,4
Minor Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,12,0,1,0,0,0,0,0,1,0,0,0,1,0,32,38,6
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,12,0,1,0,0,0,0,0,0,0,0,0,1,0,42,118,1
Local,Scarborough,Intersection,Other,No Control,Clear,Dark,Dry,SMV Unattended Vehicle,Other,Other,20,0,1,0,0,0,0,0,0,0,0,0,0,0,42,117,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Turning Movement,Driver,Bus,9,0,1,0,0,1,0,0,1,0,0,0,0,1,23,6,1
Other,Etobicoke York,Mid-Block,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,22,17,1
Major Arterial,Scarborough,Intersection,Other,Traffic Signal,Rain,Daylight,Wet,Pedestrian Collisions,Vehicle Owner,Other,17,0,0,0,0,1,0,0,0,0,0,0,1,0,42,129,7
Minor Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,1,0,1,0,0,0,0,0,0,0,0,0,1,0,13,94,9
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Van,18,0,1,0,0,1,0,0,1,1,0,0,0,0,22,16,5
Major Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,Angle,Driver,Automobile,20,0,1,0,1,0,0,1,1,0,0,0,0,1,53,100,9
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Slush,Pedestrian Collisions,Pedestrian,Other,18,0,1,0,0,0,0,0,0,0,0,0,1,0,43,136,12
Major Arterial,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Rear End,Passenger,Other,3,0,1,0,0,0,0,1,1,0,0,0,0,1,54,58,3
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,Truck,10,0,0,0,1,0,0,0,0,0,0,0,1,0,11,87,7
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,21,1,1,0,0,0,0,0,0,0,0,0,0,0,55,62,8
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Passenger,Other,9,0,1,0,0,0,0,0,0,0,0,0,0,1,14,85,11
Collector,Etobicoke York,Intersection,Other,No Control,Rain,Dawn,Wet,Pedestrian Collisions,Driver,Bus,7,0,0,0,0,1,0,0,0,0,0,0,1,0,22,18,10
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Dark,Dry,SMV Other,Driver,Truck,0,0,1,0,0,0,0,1,1,0,0,0,0,1,22,17,2
Minor Arterial,Etobicoke York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,1,0,0,0,0,0,0,0,0,0,1,0,22,14,8
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Snow,Daylight,Ice,Approaching,Driver,Automobile,15,0,1,0,0,0,0,1,1,0,0,0,0,1,53,98,12
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,0,0,1,1,0,0,0,1,1,0,0,0,0,0,33,43,9
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,1,0,0,0,0,0,1,0,0,0,1,0,55,70,10
Collector,North York,Intersection,At Intersection,Stop Sign,Clear,Dark,Dry,SMV Unattended Vehicle,Passenger,Other,20,0,1,1,0,0,0,1,1,0,0,0,0,1,54,43,6
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,6,0,1,0,0,0,0,0,1,0,0,0,1,0,13,92,4
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,1,1,0,0,0,1,0,41,119,9
Local,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,53,98,12
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Passenger,Other,5,0,1,0,0,1,0,0,1,1,0,0,0,1,23,4,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Turning Movement,Truck Driver,Truck,11,0,1,0,1,0,0,0,1,0,0,0,0,0,42,116,1
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Rear End,Driver,Automobile,0,0,1,0,0,0,0,0,0,0,0,0,0,1,14,85,8
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Rear End,Driver,Automobile,0,0,1,0,0,0,0,1,1,0,1,0,0,0,12,30,6
Collector,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Daylight,Wet,Pedestrian Collisions,Driver,Automobile,7,0,1,0,0,0,0,0,1,0,0,0,1,1,42,131,1
Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,7,0,1,0,0,0,0,0,0,0,0,0,1,1,13,107,1
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,8,0,1,0,0,0,0,0,0,0,0,0,1,1,42,132,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Sideswipe,Driver,Automobile,12,0,1,0,1,0,0,0,0,0,0,0,0,1,42,128,3
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,22,0,1,0,0,0,0,0,1,0,0,0,1,0,11,93,7
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Truck Driver,Truck,6,0,0,0,1,0,0,0,0,0,0,0,1,0,31,21,3
Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,6,0,1,0,0,0,0,0,0,0,0,0,1,0,11,87,9
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Passenger,Other,10,0,1,0,0,0,0,0,0,0,0,0,1,1,31,27,2
Minor Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,19,0,1,0,0,0,0,0,1,0,0,0,1,0,31,21,3
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,13,0,1,0,0,0,0,0,0,0,0,0,1,0,55,68,7
Laneway,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Truck Driver,Truck,6,0,0,0,1,0,0,0,0,0,0,0,1,0,51,75,9
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,1,0,1,1,0,0,0,1,1,1,0,0,0,1,53,56,7
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,14,0,1,0,0,0,0,0,0,0,0,0,1,0,12,110,10
Local,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Wet,Approaching,Driver,Automobile,9,0,1,0,0,0,0,1,1,0,0,0,0,0,32,26,2
Other,Other,Other,At/Near Private Drive,No Control,Clear,Dark,Dry,Rear End,Driver,Automobile,19,0,1,0,0,0,0,1,1,0,1,0,0,0,11,93,11
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Passenger,Other,14,0,1,0,0,0,0,0,1,0,0,0,0,1,23,5,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Other,Rain,Dark,Wet,Pedestrian Collisions,Driver,Automobile,18,0,1,0,0,0,0,0,1,0,1,0,1,0,53,71,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Passenger,Other,10,0,1,0,0,1,0,0,1,0,0,0,0,1,42,130,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,8,0,1,0,0,0,0,0,1,0,0,0,1,0,42,118,11
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,32,37,8
Local,Toronto and East York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,17,1,1,0,0,0,0,0,0,0,0,0,0,0,52,78,8
Other,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,SMV Other,Passenger,Other,5,0,0,0,1,0,0,1,1,0,0,0,0,1,55,68,3
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Angle,Driver,Automobile,10,0,1,0,0,0,0,0,1,1,0,0,0,1,42,116,7
Local,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Cyclist Collisions,Other,Other,15,1,0,0,0,0,0,0,0,0,0,0,0,0,12,110,2
Major Arterial,Toronto and East York,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,17,0,1,0,0,0,0,0,0,0,0,0,1,0,14,81,12
Other,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Rear End,Driver,Truck,23,0,1,1,0,0,0,1,1,0,0,0,0,1,55,70,7
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Motorcycle Passenger,2 Wheels,10,0,0,1,1,0,0,0,0,0,0,0,0,1,12,30,7
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Cyclist Passenger,2 Wheels,14,1,1,0,0,0,0,0,0,0,0,0,0,1,52,76,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,14,0,1,0,0,0,0,0,1,0,0,0,1,0,41,138,11
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Pedestrian Collisions,Driver,Automobile,13,0,1,0,0,0,0,0,0,0,0,0,1,0,52,76,5
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Driver,Automobile,14,0,1,0,0,0,0,0,0,0,0,0,0,1,14,81,11
Laneway,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Truck Driver,Truck,6,0,0,0,1,0,0,0,0,0,0,0,1,0,51,75,9
Major Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Sideswipe,Motorcycle Passenger,2 Wheels,17,0,1,1,0,0,0,0,0,0,0,0,0,0,41,122,8
Minor Arterial,Scarborough,Mid-Block,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,0,0,1,0,0,0,0,0,1,0,0,0,1,0,42,116,6
Major Arterial,Etobicoke York,Mid-Block,Other,No Control,Clear,Dark,Dry,Angle,Passenger,Other,4,0,1,0,0,0,0,0,0,0,0,0,0,1,22,10,4
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,Dawn,Wet,Cyclist Collisions,Cyclist Passenger,2 Wheels,5,1,1,0,0,0,0,0,1,0,0,0,0,0,14,78,6
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Approaching,Driver,Automobile,19,0,1,0,0,0,0,1,1,0,0,0,0,0,31,24,3
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,SMV Other,Vehicle Owner,Other,4,0,1,0,0,0,0,0,0,0,0,0,0,0,32,33,3
Major Arterial,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,23,1,7
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,SMV Other,Driver,Automobile,9,0,1,0,0,0,0,0,0,0,0,0,0,1,14,85,11
Minor Arterial,Toronto and East York,Intersection,At Intersection,Pedestrian Crossover,Clear,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,6,0,1,0,0,0,0,0,1,0,0,0,1,1,55,69,2
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Rear End,Driver,Automobile,3,0,1,0,0,0,0,1,1,0,0,0,0,1,31,25,4
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,17,1,1,0,0,0,0,0,0,0,0,0,0,0,32,31,8
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,SMV Other,Other,Other,4,0,0,1,0,0,0,0,0,0,0,0,0,0,22,15,9
Major Arterial,Toronto and East York,Intersection,Other,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,2,0,1,0,0,0,0,0,0,0,1,0,1,0,14,79,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Driver,Truck,15,0,1,0,0,0,0,1,1,0,0,0,0,1,41,120,11
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,1,0,0,0,0,0,0,0,0,0,1,0,42,129,9
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Dusk,Dry,Other,Other,Other,20,0,0,0,1,0,0,0,0,0,0,0,0,1,14,85,8
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Truck,8,0,1,0,0,0,0,0,1,1,0,0,1,0,31,27,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,SMV Other,Passenger,Other,5,0,1,0,0,0,0,0,0,0,0,0,0,1,42,117,10
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,7,1,1,0,0,0,0,0,0,0,0,0,0,0,53,55,5
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,20,0,1,0,0,0,0,0,0,0,0,0,1,0,41,119,9
Major Arterial,Toronto and East York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,13,0,1,0,0,0,0,0,1,0,0,0,1,1,52,77,7
Major Arterial,North York,Mid-Block,At/Near Private Drive,No Control,Clear,Daylight,Dry,Other,Driver,Bus,11,0,1,0,0,1,0,0,0,0,0,0,0,1,32,50,8
Major Arterial,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Turning Movement,Driver,Automobile,8,0,1,0,0,0,0,1,1,0,0,0,0,1,32,38,6
Minor Arterial,North York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,11,0,1,0,0,0,0,0,0,0,0,0,1,0,13,31,8
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,21,0,1,0,0,0,0,0,0,0,0,0,1,0,33,52,12
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,1,0,1,0,0,0,0,0,0,0,0,0,1,0,53,104,3
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Driver,Automobile,20,0,1,0,0,0,0,0,0,0,0,0,0,1,41,127,9
Minor Arterial,Scarborough,Mid-Block,Other,Pedestrian Crossover,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,10,0,1,0,0,0,0,0,1,0,0,0,1,0,42,117,8
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Snow,Daylight,Wet,Pedestrian Collisions,Truck Driver,Truck,10,0,0,0,1,0,0,0,1,0,0,0,1,0,12,30,11
Minor Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Rear End,Motorcycle Passenger,2 Wheels,6,0,1,1,0,0,0,0,1,0,0,0,0,0,52,77,7
Major Arterial,Scarborough,Intersection,Other,No Control,Snow,Daylight,Snow,Pedestrian Collisions,Vehicle Owner,Other,12,0,1,0,0,0,0,0,0,0,0,0,1,0,43,137,12
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Rain,Daylight,Wet,Pedestrian Collisions,Driver,Van,12,0,1,0,0,0,0,0,0,0,0,0,1,1,31,26,3
Local,Etobicoke York,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,16,0,1,0,0,0,0,0,0,0,0,0,1,0,12,111,7
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Truck Driver,Truck,10,0,0,0,1,0,0,0,1,0,0,0,1,0,13,108,4
Major Arterial,Etobicoke York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,11,0,1,0,0,0,0,0,0,0,0,0,1,1,12,112,11
Collector,Scarborough,Intersection,Other,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,14,0,1,0,0,0,0,0,0,0,0,0,1,0,41,122,8
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Automobile,20,0,1,0,0,0,0,0,1,0,0,0,0,0,31,25,6
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Truck,11,0,1,0,1,0,0,0,1,0,0,0,1,0,42,128,8
Major Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,19,0,1,0,0,0,0,0,0,0,0,0,1,0,14,81,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Other,Dark,Slush,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,42,116,1
Major Arterial,Scarborough,Intersection,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,42,129,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,1,0,0,0,0,1,1,1,0,0,1,0,41,124,10
Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dawn,Dry,SMV Other,Pedestrian,Other,6,0,1,0,0,0,0,0,1,0,0,0,1,0,51,73,2
Collector,North York,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Angle,Other,Other,7,0,1,0,0,0,0,1,1,0,1,0,0,1,32,36,7
Major Arterial,North York,Mid-Block,Non Intersection,No Control,Snow,Dark,Ice,Approaching,Driver,Automobile,19,0,1,0,0,0,0,1,1,0,0,0,0,1,33,46,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Angle,Driver,Automobile,0,0,1,0,0,0,0,0,1,1,1,0,0,1,43,137,8
Minor Arterial,Scarborough,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Pedestrian Collisions,Passenger,Other,16,0,1,0,0,0,0,0,1,0,1,0,1,1,41,120,9
Major Arterial,Etobicoke York,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Rear End,Driver,Emergency,6,0,1,0,0,0,1,0,0,0,0,0,0,0,31,22,4
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,11,0,0,0,1,1,0,1,1,0,0,0,1,1,42,130,8
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Turning Movement,Passenger,Other,21,0,1,0,0,0,0,0,0,0,0,0,0,1,43,137,8
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,9,0,1,0,0,0,0,0,1,0,0,0,1,0,32,31,8
Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,SMV Other,Vehicle Owner,Other,4,0,1,0,0,0,0,0,1,0,0,0,0,1,11,87,7
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Cyclist Collisions,Driver,Automobile,12,1,1,0,0,0,0,0,1,0,0,0,0,0,53,39,6
Major Arterial,North York,Intersection,Other,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Pedestrian,Other,15,0,1,0,0,0,0,0,1,0,0,0,1,0,32,36,11
Major Arterial,North York,Mid-Block,Other,No Control,Clear,Daylight,Wet,Pedestrian Collisions,Pedestrian,Other,9,0,0,0,0,1,0,0,0,0,0,0,1,0,54,44,11
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Pedestrian Collisions,Driver,Van,18,0,1,0,0,0,0,0,0,0,0,0,1,0,42,117,12
Major Arterial,Toronto and East York,Mid-Block,Other,No Control,Clear,Daylight,Dry,Approaching,Passenger,Other,15,0,1,0,0,0,0,0,0,0,0,0,0,1,54,58,10
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Passenger,Other,16,0,1,0,0,0,0,0,1,1,0,0,1,1,32,50,8
Major Arterial,Toronto and East York,Intersection,At Intersection,Other,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,9,0,1,0,0,0,0,0,1,0,0,0,1,0,53,96,6
Major Arterial,North York,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Turning Movement,Vehicle Owner,Other,16,0,1,0,0,0,0,0,0,0,0,0,0,1,33,40,5
Minor Arterial,Etobicoke York,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Vehicle Owner,Other,11,0,1,0,0,0,0,0,0,0,0,0,0,1,12,30,5
Local,Toronto and East York,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Vehicle Owner,Other,19,0,1,0,0,0,0,0,0,0,0,0,1,0,53,98,12
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Dry,Approaching,Vehicle Owner,Other,22,0,1,0,0,0,0,0,0,0,0,0,0,0,43,137,12
Major Arterial,Scarborough,Mid-Block,Other,No Control,Clear,Dark,Dry,Pedestrian Collisions,Driver,Automobile,21,0,1,0,0,0,0,0,0,0,0,0,1,0,42,132,4
Minor Arterial,Scarborough,Intersection,Other,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Pedestrian,Other,17,0,1,0,0,0,0,0,0,0,0,0,1,0,41,123,5
Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Pedestrian Collisions,Driver,Automobile,9,0,1,0,0,0,0,0,1,0,0,0,1,0,42,130,1
Collector,Etobicoke York,Mid-Block,Other,No Control,Rain,Daylight,Wet,Approaching,Vehicle Owner,Other,10,0,1,0,0,1,0,0,0,0,1,0,0,1,23,4,10
Major Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Turning Movement,Passenger,Other,16,0,1,0,0,0,0,0,0,0,0,0,0,1,42,128,6
Major Arterial,Etobicoke York,Intersection,At Intersection,Traffic Signal,Rain,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,19,0,1,0,0,0,0,0,1,0,0,0,1,0,12,115,12
Minor Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,Dark,Wet,Pedestrian Collisions,Pedestrian,Other,19,0,1,0,0,0,0,0,0,0,0,0,1,0,41,120,11
